,name,conference,attendance,score,home,precipitation,snowfall,snow depth,max temp,min temp,avg wind speed,winner
0,Wisconsin Badgers,Big Ten,75136,23,1,0,0,0,80.96000000000001,66.02,20,Win
1,Nebraska Cornhuskers,Big Ten,77779,48,1,0,0,0,,,,Win
2,Ohio State Buckeyes,Big Ten,100037,45,1,0,0,0,89.96000000000001,69.08000000000001,,Win
3,NC State Wolfpack,ACC,47018,34,1,0,0,0,100.03999999999999,75.92,,Win
4,Texas Longhorns,Big 12,83051,27,1,0,0,0,,,,Win
5,Tennessee Volunteers,SEC,67221,47,1,0,0,0,,,,Win
6,Florida State Seminoles,ACC,79406,40,1,0,0,0,80.96000000000001,73.94,32,Win
7,Georgia Bulldogs,SEC,86520,31,1,0,0,0,73.94,66.92,45,Win
8,Nebraska Cornhuskers,Big Ten,77831,31,1,0,0,0,,,,Win
9,Michigan Wolverines,Big Ten,111491,31,1,0,0,0,84.02,59.0,,Win
10,Washington State Cougars,Pac-12,63588,31,1,0,0,0,80.06,44.96,17,Win
11,Oregon Ducks,Pac-12,56386,36,1,0,0,0,84.02,42.980000000000004,29,Win
12,Michigan State Spartans,Big Ten,73927,56,1,0,0,0,82.94,53.96,,Win
13,Marshall Thundering Herd,Conference USA,31042,50,1,0,0,0,78.98,62.06,,Win
14,South Carolina Gamecocks,SEC,83717,34,1,0,0,0,75.02,69.08000000000001,,Win
15,Texas A&M Aggies,SEC,75087,31,1,0,0,0,,,,Win
16,Penn State Nittany Lions,Big Ten,0,27,1,0,0,0,73.94,57.019999999999996,,Win
17,NC State Wolfpack,ACC,42507,34,1,0,0,0,69.98,62.96,,Win
18,Boston College Eagles,ACC,40066,24,1,0,0,0,,,,Win
19,Air Force Falcons,Mountain West,45114,52,1,0,0,0,,,,Win
20,Iowa Hawkeyes,Big Ten,51495,57,1,0,0,0,84.92,62.06,,Win
21,Alabama Crimson Tide,SEC,80091,39,1,0,0,0,87.98,71.06,19,Win
22,Iowa State Cyclones,Big 12,40026,45,1,0,0,0,82.94,55.94,23,Win
23,North Carolina Tar Heels,ACC,38000,21,1,0,0,0,68.0,64.94,,Lose
24,Purdue Boilermakers,Big Ten,47701,51,1,0,0,0,84.92,62.06,23,Win
25,BYU Cougars,FBS Independents,63085,35,1,0,0,0,82.03999999999999,62.96,,Win
26,Oklahoma Sooners,Big 12,75564,37,1,0,0,0,,,,Win
27,Tennessee Volunteers,SEC,107672,26,1,0,0,0,93.02,64.94,13,Win
28,Michigan Wolverines,Big Ten,107856,35,1,0,0,0,91.94,59.0,,Win
29,Ohio State Buckeyes,Big Ten,98689,51,1,0,0,0,95.0,57.92,,Win
30,Nebraska Cornhuskers,Big Ten,78176,44,1,0,0,0,,,,Win
31,Washington State Cougars,Pac-12,0,49,1,0,0,0,62.96,41.0,27,Win
32,Oregon Ducks,Pac-12,56357,28,1,0,0,0,71.96000000000001,42.980000000000004,24,Win
33,Washington Huskies,Pac-12,70147,34,1,0,0,0,69.08000000000001,53.96,26,Win
34,Michigan State Spartans,Big Ten,74014,27,1,0,0,0,87.98,53.06,,Win
35,Colorado Buffaloes,Pac-12,0,34,1,0,0,0,,,,Win
36,UCLA Bruins,Pac-12,58078,30,1,0,0,0,86.0,57.92,,Win
37,Pittsburgh Panthers,ACC,45489,12,1,0,0,0,,,,Lose
38,Navy Midshipmen,American,29613,19,1,0,0,0,80.06,78.98,,Lose
39,Virginia Cavaliers,ACC,60171,34,1,0,0,0,,,,Win
40,LSU Tigers,SEC,85022,35,1,0,0,0,80.96000000000001,73.94,28,Win
41,Wisconsin Badgers,Big Ten,76320,34,1,0,0,0,87.98,62.06,24,Win
42,Southern Mississippi Golden Eagles,Conference USA,22183,23,1,0,0,0,78.08000000000001,73.94,20,Win
43,Miami (OH) RedHawks,Mid-American,25934,24,1,0,0,0,,,,Lose
44,Ole Miss Rebels,SEC,54718,38,1,0,0,0,96.08,68.0,,Win
45,Clemson Tigers,ACC,71000,33,1,0,0,0,87.08000000000001,60.980000000000004,,Win
46,Northwestern Wildcats,Big Ten,21422,24,1,0,0,0,,,,Lose
47,Temple Owls,American,33169,21,1,0,0,0,86.0,66.92,,Lose
48,Oklahoma Sooners,Big 12,74468,68,1,0,0,0,,,,Win
49,North Carolina Tar Heels,ACC,60500,21,1,0,0,0,75.92,69.98,,Lose
50,Maryland Terrapins,Big Ten,51758,10,1,0,0,0,82.03999999999999,55.040000000000006,,Lose
51,Ohio State Buckeyes,Big Ten,104553,25,1,0,0,0,87.08000000000001,64.03999999999999,,Win
52,Penn State Nittany Lions,Big Ten,110753,40,1,0,0,0,82.03999999999999,57.019999999999996,,Win
53,South Carolina Gamecocks,SEC,84227,7,1,0,0,0,91.94,71.96000000000001,,Lose
54,Oregon Ducks,Pac-12,55187,58,1,0,0,0,71.06,51.980000000000004,43,Win
55,Michigan State Spartans,Big Ten,72634,22,1,0,0,0,82.03999999999999,50.0,,Lose
56,Colorado Buffaloes,Pac-12,53119,3,1,0,0,0,,,,Lose
57,NC State Wolfpack,ACC,51094,32,1,0,0,0,77.0,57.92,,Win
58,Wisconsin Badgers,Big Ten,77460,24,1,0,0,0,71.06,60.980000000000004,17,Win
59,Oklahoma State Cowboys,Big 12,43020,24,1,0,0,0,80.96000000000001,64.03999999999999,26,Lose
60,Colorado State Rams,Mountain West,31607,36,1,0,0,0,,,,Win
61,LSU Tigers,SEC,90010,33,1,0,0,0,93.92,75.02,24,Win
62,Clemson Tigers,ACC,0,24,1,0,0,0,78.98,66.92,,Win
63,Illinois Fighting Illini,Big Ten,46258,59,1,0,0,0,89.06,60.08,,Win
64,Auburn Tigers,SEC,76127,31,1,0,0,0,78.08000000000001,69.98,,Win
65,Northwestern Wildcats,Big Ten,22910,26,1,0,0,0,,,,Win
66,Ball State Cardinals,Mid-American,12924,23,1,0,0,0,,,,Win
67,Kent State Golden Flashes,Mid-American,8410,37,1,0,0,0,80.06,50.0,,Win
68,Louisiana Tech Bulldogs,Conference USA,18600,53,1,0,0,0,95.0,66.02,,Win
69,Marshall Thundering Herd,Conference USA,32900,26,1,0,0,0,82.03999999999999,64.94,,Win
70,Texas Longhorns,Big 12,82936,41,1,0,0,0,,,,Win
71,Tennessee Volunteers,SEC,108722,13,1,0,0,0,73.94,69.08000000000001,20,Lose
72,Florida State Seminoles,ACC,82397,48,1,0,0,0,93.02,73.94,31,Win
73,Texas A&M Aggies,SEC,83746,3,1,0,0,0,,,,Lose
74,Georgia Bulldogs,SEC,86520,45,1,0,0,0,80.06,69.98,25,Win
75,Oregon Ducks,Pac-12,56066,41,1,0,0,0,82.94,44.06,62,Win
76,Kansas State Wildcats,Big 12,49276,27,1,0,0,0,78.08000000000001,50.0,,Win
77,Michigan State Spartans,Big Ten,75182,17,1,0,0,0,78.08000000000001,59.0,,Lose
78,Washington Huskies,Pac-12,72898,38,1,0,0,0,73.94,50.0,10,Win
79,Michigan Wolverines,Big Ten,109734,10,1,0,0,0,80.06,60.08,,Win
80,Penn State Nittany Lions,Big Ten,103987,49,1,0,0,0,80.96000000000001,68.0,,Win
81,Washington State Cougars,Pac-12,23713,45,1,0,0,0,64.94,26.96,8,Win
82,Texas Tech Red Raiders,Big 12,35864,48,1,0,0,0,89.96000000000001,51.980000000000004,24,Lose
83,UCLA Bruins,Pac-12,63880,17,1,0,0,0,93.02,64.03999999999999,,Lose
84,Iowa State Cyclones,Big 12,44896,42,1,0,0,0,66.92,50.0,38,Win
85,Wisconsin Badgers,Big Ten,78582,31,1,0,0,0,69.08000000000001,51.980000000000004,26,Win
86,California Golden Bears,Pac-12,0,21,1,0,0,0,89.96000000000001,51.980000000000004,,Lose
87,Pittsburgh Panthers,ACC,32519,23,1,0,0,0,,,,Win
88,Navy Midshipmen,American,27012,40,1,0,0,0,84.92,66.92,,Lose
89,Ole Miss Rebels,SEC,50427,45,1,0,0,0,84.92,64.94,,Win
90,Army Black Knights,FBS Independents,28625,14,1,0,0,0,80.96000000000001,64.03999999999999,,Lose
91,New Mexico Lobos,Mountain West,35111,0,1,0,0,0,78.08000000000001,53.06,28,Lose
92,Oklahoma Sooners,Big 12,74432,31,1,0,0,0,,,,Win
93,Tulane Green Wave,American,46678,0,1,0,0,0,84.92,69.98,,Lose
94,Western Michigan Broncos,Mid-American,27218,0,1,0,0,0,71.96000000000001,51.980000000000004,24,Lose
95,Ohio State Buckeyes,Big Ten,104194,45,1,0,0,0,71.96000000000001,53.06,,Win
96,Georgia Bulldogs,SEC,86520,41,1,0,0,0,78.98,62.96,22,Win
97,Tennessee Volunteers,SEC,103925,35,1,0,0,0,80.06,64.94,38,Win
98,Penn State Nittany Lions,Big Ten,0,35,1,0,0,0,66.92,55.94,,Lose
99,Washington Huskies,Pac-12,70070,41,1,0,0,0,75.92,46.94,6,Win
100,Illinois Fighting Illini,Big Ten,69249,28,1,0,0,0,82.03999999999999,53.06,,Lose
101,California Golden Bears,Pac-12,29297,38,1,0,0,0,64.03999999999999,50.0,,Lose
102,NC State Wolfpack,ACC,51221,56,1,0,0,0,78.08000000000001,57.019999999999996,,Win
103,USC Trojans,Pac-12,56417,22,1,0,0,0,69.98,62.06,10,Win
104,Iowa State Cyclones,Big 12,51888,36,1,0,0,0,69.98,42.08,17,Win
105,LSU Tigers,SEC,90793,31,1,0,0,0,87.08000000000001,64.94,14,Win
106,Texas A&M Aggies,SEC,72802,31,1,0,0,0,,,,Win
107,Nevada Wolf Pack,Mountain West,19292,28,1,0,0,0,71.06,46.04,24,Lose
